,users,follower_count
747,Holkre,215.0
748,torsti79,359.0
749,9vBlock,5.0
750,IMScudetto2021,279.0
751,Xivios343,21.0
752,eCaroos,153.0
753,MarioBuchinger,215.0
754,shiwago160,5.0
755,___clarity___,181.0
756,EV_Stevee,1773.0
757,AbteilungArchie,48.0
758,klaus_wiens,7.0
759,balatonzeitung,997.0
760,the_infinity,1481.0
761,a_braxes,44.0
762,DocOlliBrown,749.0
763,Schrumpfe,190.0
764,alcest,151.0
765,BavarianGeek,260.0
766,pr3mut05,796.0
767,technikjuli,1152.0
768,KarstenVonW,683.0
769,JackTheQuila,28.0
770,firmenpresse,528.0
771,ripthebones,25.0
772,RuedigerDavid,174.0
773,ulmel,236.0
774,_the_guitarman_,66.0
775,Sandocan2,308.0
776,macwinnie,933.0
777,AlexanderStraub,2080.0
778,pjanik_otm,645.0
779,MartinFehringe3,1309.0
780,WOLKEFN,404.0
781,outthemouse,37.0
782,Tstormwitch,183.0
783,net4_energy,52.0
784,SWP_Pforzheim,798.0
785,Gemeindebund,5243.0
786,Markus306,934.0
787,BoernyA,210.0
788,SubtletyGranted,9.0
789,geco_de,262.0
790,ncschulze,64.0
791,Josefin52299334,18.0
792,Manuel0St,45.0
793,koepfle_h,165.0
794,Schneeanemone,304.0
795,obstkuchen88,51.0
796,VanjariMukesh,31.0
797,HerrmannPierre,328.0
798,cycletux,573.0
799,bp_Deutschland,2800.0
800,martin_thiele,3.0
801,Siemens_Schweiz,4138.0
802,AntjeKhler7,10.0
803,kaffeetrinkr,217.0
804,LtCmdMoe,84.0
805,Strandbeutel,235.0
806,usbscsi,294.0
807,clscholz,203.0
808,GIGATECHDE,1430.0
809,Ozzy_Ostkreuz,0.0
810,krille_der_1,770.0
811,C0leslavv,4.0
812,Tolotgucky761,1.0
813,nerdswire,1405.0
814,ERAKUU,473.0
815,petra_weigelt,3.0
816,ParkHere_muc,295.0
817,JonOfUs,6227.0
818,karl_popp,1881.0
819,Luenendonk,1033.0
820,WirtschaftNRW,21666.0
821,RodFlanders,51.0
822,Migstein,75.0
823,BuirerFuerBuir,5385.0
824,marq_us,1197.0
825,benniphd,446.0
826,lt_jaykay,910.0
827,stadt_pforzheim,3221.0
828,GrueneLandtagBY,9994.0
829,MarBel78,1823.0
830,ladegruen,77.0
831,agentsinaction,263.0
832,Naturschuetzen,5384.0
833,thospee,252.0
834,ffmac,58.0
835,HIThomasFranke,2362.0
836,esteesch,14.0
837,xtremetitschn,377.0
838,leumund,7199.0
839,CarPr5,6.0
840,RedaktionNews,100.0
841,Norman1981,130.0
842,ErneuerbareEHH,884.0
843,Techaktien1,1516.0
844,FraunhoferIFAM,1072.0
845,sofa_review,51.0
846,MarkusGroll,528.0
847,ElektrischST,157.0
848,RoslerFrank,1644.0
849,elektromob_nrw,2462.0
850,DieMeinung,101.0
851,boersenzeitung,29274.0
852,Fridgeir9,68.0
853,nightix,12.0
854,christianschuff,293.0
855,Moritz_77,925.0
856,NuovaRealta,8132.0
857,_PrivatePress,365.0
858,DerMaeder,216.0
859,ImEffizienzhaus,340.0
860,FrauAdebar,123.0
861,t3n,165824.0
862,derWitzer,121.0
863,rammc,3498.0
864,GVGotha,115.0
865,profi_youth,1011.0
866,AstridSalmhofer,684.0
867,therealschendi,298.0
868,nowucme_sven,333.0
869,FranzP19,13.0
870,KurtKlaas,79.0
871,leo06912277,1104.0
872,UdoBleibtZuhaus,344.0
873,KtikerV,4365.0
874,WahlheimatRuhr,4249.0
875,hae_aehm,153.0
876,irony_many,340.0
877,MarcToenis,10.0
878,ronnyrossin,719.0
879,OliDerBolli,218.0
880,Di2tweet,4.0
881,kaatrin_de,157.0
882,chri_gru,3579.0
883,peterpstuttgart,1638.0
884,andre_kahlen,10.0
885,chhay_lu,0.0
886,BIQ2,324.0
887,arnehess,3525.0
888,awol166,11.0
889,annette_kempf,73.0
890,DerBrunki,1102.0
891,jdoeschner,19605.0
892,Sedios1,62.0
893,lelei,1017.0
894,mrz_online,9.0
895,dabinichwieder2,61.0
896,weare_chaos,106.0
897,StoreAndCharge,139.0
898,RalphKittl,18.0
899,BonnerBlogs,2192.0
900,heikovfischer,264.0
901,energyblawg,204.0
902,windjournal,1163.0
903,BernhardWardin,95.0
904,Lizzankala,95.0
905,bvm_hh,3142.0
906,Windeck24,283.0
907,sbamueller,3404.0
908,Mobility_Suisse,1309.0
909,eichner_robert,27.0
910,try_elvah,189.0
911,hasepost,2297.0
912,Tellos44,280.0
913,KeffOberrhein,98.0
914,J0RAKU,88.0
915,JPinSH,74.0
916,Infraspinat,5.0
917,CatWeaz45215111,1031.0
918,swbbn,111.0
919,Berndte3,1367.0
920,umweltHB,1185.0
921,kai_kunstmann,252.0
922,Flash43094,1.0
923,drechenfeule,121.0
924,masta_de,138.0
925,Uehmche,1500.0
926,AirElectricApp,69.0
927,ChristianEnder,143.0
928,wolframtheymann,185.0
929,Grumpi_baer,339.0
930,agoraverkehr,10288.0
931,WalterSchmidtB1,183.0
932,StefanWaanders,10.0
933,hochbahn,94094.0
934,markus1780,31.0
935,GNUmatic,331.0
936,GNogarole,287.0
937,hofmeierr,2554.0
938,RealValueLover,21.0
939,PeterGrubl,101.0
940,enerson_de,303.0
941,AlexSch06617279,173.0
942,fkamolz,3697.0
943,DanWeb2_0,2249.0
944,SchuGue,350.0
945,BernauLIVE,1589.0
946,Efahrer_com,38.0
947,m_hofer68,70.0
948,NRW_E4C,351.0
949,TspBackgroundMT,2952.0
950,streetartfreak,8.0
951,MikeSpheniscida,133.0
952,LynnMea18960950,429.0
953,e_Mobil2014,180.0
954,greveler,1039.0
955,NotSoLuckyStar,218.0
956,Event_IAO,313.0
957,42paba,5.0
958,40spokes,51.0
959,sascha_p,45508.0
960,Sasa63957285,14.0
961,HerrVorragend0,8.0
962,BerndBoden,0.0
963,xXSnoupyXx,19.0
964,Frau_Elster,427.0
965,tina196521,1176.0
966,Akkufuchs,117.0
967,Xus1Ba,21.0
968,Zeroday_Podcast,99.0
969,HerrKausB1,188.0
970,michael_ewig,18.0
971,Redaktion_ep,867.0
972,appletechnikbl,466.0
973,dr_hankee,30.0
974,taxforce_bln,74.0
975,MichiFrie,6.0
976,PeterPa74959590,54.0
977,TspCheckpoint,8632.0
978,micdaum,94.0
979,wunder2welt,797.0
980,denkbeteiligung,375.0
981,r41n8ow,14.0
982,jonas_109_,159.0
983,mpempi,426.0
984,JPK1993,7.0
985,DudeReicher,29.0
986,BoeckAndi,1.0
987,gorch_web,10.0
988,jakbaum,687.0
989,AlFa47945175,139.0
990,presseticker,1866.0
991,fabiandoehla,53788.0
992,mahlwerkende,333.0
993,lukasheidrich99,414.0
994,Martin_Black,233.0
995,ChristianWeyer4,844.0
996,NichtTK,2993.0
997,_Ringeltaube_,134.0
998,NLinDeutschland,1943.0
999,DontSwitch,1489.0
1000,Sonnenschein500,194.0
1001,pfeisi,746.0
1002,IsmailErtug,5957.0
1003,DEmobil2030,2083.0
1004,TaunusOnline,1321.0
1005,NiklasRose3,28.0
1006,kommunal_eu,1022.0
1007,hawaiidoktor,27.0
1008,HerrSievers,355.0
1009,liberalornot,324.0
1010,DerInspector,2.0
1011,TouchBenny,5384.0
1012,MsBonnyParker,1112.0
1013,R_ZausC,9.0
1014,Sina_Colada,372.0
1015,MaAhl5,54.0
1016,SiemensDE,6924.0
1017,StN_News,43140.0
1018,StZ_NEWS,137217.0
1019,peterhense,8967.0
1020,MedLafaille,1718.0
1021,FTageblatt,846.0
