,follower_count,user_id,user_name
400,808,40684572.0,axelwagnernet
401,66,726536460.0,bahamut8811
402,23,1.178322322408837e+18,HolgerSmmer1
403,1428,1251090116.0,UliMolter
404,21,64700371.0,Tombrones
405,7,1.4842607846119424e+18,Kanone0815
406,389,173653115.0,Birkolo
407,29,1.4769213646490665e+18,AannKrieger
408,32,8.21080173529432e+17,Pelle_HB
409,52,1.245067984344879e+18,polterfisch1
410,456,245096588.0,feste_burg
411,3,1.4238871515031306e+18,FauchiOuchi2
412,95,3167159002.0,hschwe3449
413,29,7.623699034542162e+17,Hans_Meier04
414,24,1.436036744009429e+18,vincealde1
415,1566,1.0482787853831823e+18,melvin_zill
416,273,8.158230654352425e+17,JimZopf
417,15,7.208500117186847e+17,Toni_Exp
418,10,948335078.0,DerTreme
419,154,1.405152426911486e+18,krauthofen
420,1931,50077411.0,_tho_
421,217,9.446986400728924e+17,haekelstern
422,86,34288474.0,Kematef
423,938,1.0310422672917586e+18,marioroesler_de
424,661,577829998.0,Klaus0604
425,434,1.2421978580251976e+18,Michael56986218
426,63,1.1649627951689073e+18,Raesoneur
427,8,1.513577043912536e+18,reve_rof_repins
428,2,2224935895.0,Nruelaw
429,53,270834022.0,PaySepp
430,52,9.420011319868498e+17,Martina7806
431,37,1.495421557774168e+18,Con_Statin
432,1,1.394942503892177e+18,pete_n78
433,4345,869794932.0,jo_kristof
434,1360,996741.0,pkerchner
435,2490,942561.0,sebastiankeil
436,1134,609315888.0,bumbesje
437,9,360935136.0,HarryBalti
438,199,1901610631.0,Vortix6
439,823,23039801.0,eva_viehoff
440,2389,38938615.0,real_mos
441,165,1.295654440519848e+18,LADE_GmbH
442,1936,9.441504914156216e+17,StopAfd
443,184,1.3775383242572554e+18,echterwegeheld
444,16,185578531.0,goenner_life
445,88,1613429544.0,jpsied
446,205,1.1415256247392461e+18,IBartelborth
447,291,1.2236850720475423e+18,ReinhardKessle1
448,615,68195206.0,planwerk
449,60,9.590716446261125e+17,pm_moeller
450,275,84079359.0,linksbynature
451,92,532498774.0,D_EQAI
452,72,1.3407010497583432e+18,Floki83
453,78,7.495106758111396e+17,Newsaholic_82
454,3876,127538973.0,RolfMecke
455,679,46620678.0,mpalkowitsch
456,52,749272339.0,Xeradox_Wizard
457,211,520544860.0,AndiHopfgartner
458,22,594428037.0,DerChris79
459,6189,7.279538153837076e+17,Poliauwei
460,44,1.0031333647637914e+18,Patrick17011
461,0,1.4661499222653133e+18,nickvier
462,36,1.0863866404389151e+18,OcherJ
463,113,1.3058086806051471e+18,TomFragt
464,103,4173181337.0,milaromcp
465,29,2223565034.0,boeck_daniel
466,944,1.448332655725011e+18,_TheWarOnDrugs
467,166,1512727236.0,AlxFu
468,13,1.3395933915001856e+18,Zwitscherfchsl1
469,303,430075763.0,ElvisAJunker
470,100,8.287003883501281e+17,RichieTheRich2
471,323,9.518911606577357e+17,RealDonDenito
472,76,9.161576439364854e+17,BonsaiAn
473,29,1.2099277568149627e+18,ekstatiker
474,1072,717323111.0,michael_h76
475,25,212674120.0,Josefmueller52
476,351,1115183394.0,devilsbrother_6
477,1517,1.265614666115539e+18,JesseVentura86
478,80,213270921.0,Kampfkekschen
479,20,1.045583946459861e+18,JacekJashari
480,15,1.3475662555118428e+18,KopfBrause
481,77,2333777898.0,GCdevil13
482,46,2988005277.0,quasselonkel
483,80,1.355510889647104e+18,schneebi4
484,15,1.0395539093191967e+18,daq71258486
485,756,8.006426301744046e+17,FrDnkr
486,771,396072476.0,meisterebner
487,391,1289722152.0,BobGerbilkiller
488,4,1.4976194069097554e+18,TeKa_lebt
489,500,1.4597302527128904e+18,IoT_CloudWork3r
490,139,1.1910404541351076e+18,greenla68908505
491,32,1418867648.0,UlfEsdert
492,11,9.265229573919498e+17,Pascal_086
493,375,44342801.0,TomBucker
494,1794,48705150.0,FabianLaasch
495,502,1887932360.0,yrow97
496,466,44089804.0,ZeEvilKohl
497,4436,9.568365723637432e+17,theRealWattwurm
498,1077,4850709749.0,Sayuchen_x3
499,1053,289218953.0,breznsoiza
500,413,71522632.0,Onkel_Jo
501,53,1.2507507373296435e+18,Eskimoki1
502,196,66649395.0,ich_fetz_dich
503,177,401576898.0,Harkron
504,43,1.3283555964337562e+18,KaKu011215
505,257,2928957039.0,Sabine_Racky
506,139,2364807380.0,drezil1985
507,15,8.22087374117204e+17,tweetsfrommk94
508,720,1.260453255282385e+18,lehrforce
509,118,7.902072080804372e+17,RuthW2802
510,419,3403178283.0,danielfilou
511,518,15253326.0,lazyb0y
512,517,720022249.0,_SBat_
513,379,21215070.0,boromir78
514,81,43857098.0,F1FanOF
515,545,2282476879.0,TomKallweit
516,40,7.633660632372019e+17,Kleinstadtpiotr
517,986,7.169549509878579e+17,cldbusch
518,1069,1.1822639690772234e+18,BSerienjunkie
519,78,1.4919112559841157e+18,332ppm
520,7,244913089.0,84blackRoses
521,297,1.1315194617548513e+18,FloXBerg
522,241,2487795100.0,C_hionius
523,16,1.0689468866509947e+18,Wiemi2
524,113,2617834278.0,JaySilence1986
525,1671,1.3471516355465175e+18,NeoliberaleA
526,816,400413662.0,MikeDeeeeeee
527,503,1958589613.0,EarlyTwix
528,4,1.3479832879402476e+18,Christi60494496
529,137,1.2442247843192873e+18,Knarf_Sier
530,,,
531,11664,9.398859445257421e+17,M_Hundhausen
532,11,3194588703.0,_Juve_Tesla
533,1,198577773.0,The_HolyMoly
534,249,1.39659300742468e+18,paintblack161
535,741,3935280581.0,unfassbar7
536,4,78941490.0,JS_1979
537,117,236556299.0,kroetlaender
538,16,1.4549352246814843e+18,AntonAnders_
539,212,1.2222886680749548e+18,ratoffelgratin
540,185,3092669979.0,djsmokey_z
541,14,9.384166437340447e+17,shadenfreu_de
542,12,390039028.0,g_mocken
543,176,1.3153050473208668e+18,datenschubse
544,194,43359490.0,Kahja19
545,31,1.3026610441338675e+18,saxelectric
546,417,7.44069016218669e+17,mfdz_de
547,72,20911522.0,mattiscb
548,1268,1242467196.0,werhoernchen
549,1822,29282646.0,mairpeda
550,8,1.1677512144796303e+18,Privatier_inspe
551,723,407365255.0,RolandJeske
552,466,2496976901.0,sonja_marie
553,77,1.0808225780407173e+18,LandauMartine
554,22,7.993263625196175e+17,SimonTobias11
555,10,8.194649876179804e+17,lullugruen
556,359,19077305.0,rlieser
557,95,38251221.0,mrvanknobi
558,16893,1.215737471167877e+18,BlakesWort
559,1,1.500446605027197e+18,maeanderer7
560,201,24507419.0,BenWagener
561,269,341976500.0,JochenH_14
562,83,709797790.0,Lingen2L
563,1,3159324730.0,Retep_90
564,168,46420162.0,_HeadCrash
565,8,1.4949712085883126e+18,nur_folge
566,41,3095216687.0,theLumpylump
567,314,960768852.0,Sir_Huh
568,255,986472630.0,JayKo1491
569,182,2226574717.0,Wirspielen1
570,51,7.492385993889137e+17,wjpOSH
571,2853,48681370.0,belobregovic
572,113,78886141.0,desk01de
573,103,282030625.0,carlptr
574,13,8.980862251517542e+17,Krausmar
575,75,1.2157004787655188e+18,hab1meinung
576,4563,545531496.0,Peter_Jelinek
