,users,follower_count
496,ZeEvilKohl,466
497,theRealWattwurm,4436
498,Sayuchen_x3,1077
499,breznsoiza,1053
500,Onkel_Jo,413
501,Eskimoki1,53
502,ich_fetz_dich,196
503,Harkron,177
504,KaKu011215,43
505,Sabine_Racky,257
506,drezil1985,139
507,tweetsfrommk94,15
508,lehrforce,720
509,RuthW2802,118
510,danielfilou,419
511,lazyb0y,518
512,_SBat_,517
513,boromir78,379
514,F1FanOF,81
515,TomKallweit,545
516,Kleinstadtpiotr,40
517,cldbusch,986
518,BSerienjunkie,1069
519,332ppm,78
520,84blackRoses,7
521,FloXBerg,297
522,C_hionius,241
523,Wiemi2,16
524,JaySilence1986,113
525,NeoliberaleA,1671
526,MikeDeeeeeee,816
527,EarlyTwix,503
528,Christi60494496,4
529,Knarf_Sier,137
530,sigfeld,
531,M_Hundhausen,11664
532,_Juve_Tesla,11
533,The_HolyMoly,1
534,paintblack161,249
535,unfassbar7,741
536,JS_1979,4
537,kroetlaender,117
538,AntonAnders_,16
539,ratoffelgratin,212
540,djsmokey_z,185
541,shadenfreu_de,14
542,g_mocken,12
543,datenschubse,176
544,Kahja19,194
545,saxelectric,31
546,mfdz_de,417
547,mattiscb,72
548,werhoernchen,1268
549,mairpeda,1822
550,Privatier_inspe,8
551,RolandJeske,723
552,sonja_marie,466
553,LandauMartine,77
554,SimonTobias11,22
555,lullugruen,10
556,rlieser,359
557,mrvanknobi,95
558,BlakesWort,16893
559,maeanderer7,1
560,BenWagener,201
561,JochenH_14,269
562,Lingen2L,83
563,Retep_90,1
564,_HeadCrash,168
565,nur_folge,8
566,theLumpylump,41
567,Sir_Huh,314
568,JayKo1491,255
569,Wirspielen1,182
570,wjpOSH,51
571,belobregovic,2853
572,desk01de,113
573,carlptr,103
574,Krausmar,13
575,hab1meinung,75
576,Peter_Jelinek,4563
577,LarsKehlen,470
578,bicionado,1720
579,LaaaschM,94
580,FuerthParken,226
581,jonasgraphie,12
582,wuppertroll,1099
583,eg_rocker,157
584,Twiterio,10
585,schmettowa,808
586,MarohnMichael,20
587,MichaF1976,7
588,Bangser,38
589,ODDO60,2031
590,JoachimHeck,600
591,f2135,4136
592,lordle,52
593,Rechenschieber,15
594,wolter_daniel,24
595,bayl,1105
596,Fahrradhauptst1,1067
597,tuessl,2102
598,MichaelTanger2,25
599,Tim_schaefer_,275
600,sinter959,853
601,Jan_sagt,1988
602,cyberpunk1410,68
603,makeratschool,937
604,sepp_reitberger,2551
605,alxndr2138,25
606,DerBash_,338
607,mschlenker,722
608,recke42,73
609,ChessExplained,5086
610,abgaserzeuger,15
611,tessarakt,881
612,oz_online_de,5978
613,WPSchill,2417
614,fischchristian,669
